Group,Opt. Flag,NThreads,Loop,BCO,Identifier,Metric,Sum,Min,Max,Avg,
L3,O2,1,kij,0,L3_O2_P1_kij,Runtime (RDTSC) [s] STAT,24.2748,6.0687,6.0687,6.0687,
L3,O2,1,jki,1024,L3_O2_P1_jki_bco_1024,Runtime (RDTSC) [s] STAT,474.6416,118.6604,118.6604,118.6604,
L3,O2,1,ijk,2048,L3_O2_P1_ijk_bco_2048,Runtime (RDTSC) [s] STAT,262.1692,65.5423,65.5423,65.5423,
L3,O2,1,ijk,64,L3_O2_P1_ijk_bco_64,Runtime (RDTSC) [s] STAT,32.7900,8.1975,8.1975,8.1975,
L3,O2,1,ikj,512,L3_O2_P1_ikj_bco_512,Runtime (RDTSC) [s] STAT,21.1412,5.2853,5.2853,5.2853,
L3,O2,1,kji,32,L3_O2_P1_kji_bco_32,Runtime (RDTSC) [s] STAT,34.3288,8.5822,8.5822,8.5822,
L3,O2,1,ikj,128,L3_O2_P1_ikj_bco_128,Runtime (RDTSC) [s] STAT,23.2744,5.8186,5.8186,5.8186,
L3,O2,1,kij,32,L3_O2_P1_kij_bco_32,Runtime (RDTSC) [s] STAT,25.9772,6.4943,6.4943,6.4943,
L3,O2,1,jki,0,L3_O2_P1_jki,Runtime (RDTSC) [s] STAT,623.4800,155.8700,155.8700,155.8700,
L3,O2,1,kji,0,L3_O2_P1_kji,Runtime (RDTSC) [s] STAT,657.5876,164.3969,164.3969,164.3969,
L3,O2,1,jki,256,L3_O2_P1_jki_bco_256,Runtime (RDTSC) [s] STAT,130.6020,32.6505,32.6505,32.6505,
L3,O2,1,jik,32,L3_O2_P1_jik_bco_32,Runtime (RDTSC) [s] STAT,34.1820,8.5455,8.5455,8.5455,
L3,O2,1,ikj,16,L3_O2_P1_ikj_bco_16,Runtime (RDTSC) [s] STAT,32.3640,8.0910,8.0910,8.0910,
L3,O2,1,jki,512,L3_O2_P1_jki_bco_512,Runtime (RDTSC) [s] STAT,187.9088,46.9772,46.9772,46.9772,
L3,O2,1,kji,256,L3_O2_P1_kji_bco_256,Runtime (RDTSC) [s] STAT,126.0300,31.5075,31.5075,31.5075,
L3,O2,1,jki,64,L3_O2_P1_jki_bco_64,Runtime (RDTSC) [s] STAT,26.2532,6.5633,6.5633,6.5633,
L3,O2,1,kij,256,L3_O2_P1_kij_bco_256,Runtime (RDTSC) [s] STAT,22.5348,5.6337,5.6337,5.6337,
L3,O2,1,ikj,2048,L3_O2_P1_ikj_bco_2048,Runtime (RDTSC) [s] STAT,23.6644,5.9161,5.9161,5.9161,
L3,O2,1,ijk,0,L3_O2_P1_ijk,Runtime (RDTSC) [s] STAT,278.9656,69.7414,69.7414,69.7414,
L3,O2,1,jki,32,L3_O2_P1_jki_bco_32,Runtime (RDTSC) [s] STAT,26.0044,6.5011,6.5011,6.5011,
L3,O2,1,jki,128,L3_O2_P1_jki_bco_128,Runtime (RDTSC) [s] STAT,82.2224,20.5556,20.5556,20.5556,
L3,O2,1,kji,64,L3_O2_P1_kji_bco_64,Runtime (RDTSC) [s] STAT,29.8112,7.4528,7.4528,7.4528,
L3,O2,1,jik,128,L3_O2_P1_jik_bco_128,Runtime (RDTSC) [s] STAT,33.2520,8.3130,8.3130,8.3130,
L3,O2,1,kji,2048,L3_O2_P1_kji_bco_2048,Runtime (RDTSC) [s] STAT,618.2208,154.5552,154.5552,154.5552,
L3,O2,1,kij,16,L3_O2_P1_kij_bco_16,Runtime (RDTSC) [s] STAT,32.3004,8.0751,8.0751,8.0751,
L3,O2,1,kij,2048,L3_O2_P1_kij_bco_2048,Runtime (RDTSC) [s] STAT,24.2332,6.0583,6.0583,6.0583,
L3,O2,1,ijk,512,L3_O2_P1_ijk_bco_512,Runtime (RDTSC) [s] STAT,58.9968,14.7492,14.7492,14.7492,
L3,O2,1,kij,1024,L3_O2_P1_kij_bco_1024,Runtime (RDTSC) [s] STAT,23.1756,5.7939,5.7939,5.7939,
L3,O2,1,jik,256,L3_O2_P1_jik_bco_256,Runtime (RDTSC) [s] STAT,48.9644,12.2411,12.2411,12.2411,
L3,O2,1,ijk,32,L3_O2_P1_ijk_bco_32,Runtime (RDTSC) [s] STAT,33.1416,8.2854,8.2854,8.2854,
L3,O2,1,kij,512,L3_O2_P1_kij_bco_512,Runtime (RDTSC) [s] STAT,21.7884,5.4471,5.4471,5.4471,
L3,O2,1,kji,1024,L3_O2_P1_kji_bco_1024,Runtime (RDTSC) [s] STAT,473.3548,118.3387,118.3387,118.3387,
L3,O2,1,ikj,0,L3_O2_P1_ikj,Runtime (RDTSC) [s] STAT,23.5708,5.8927,5.8927,5.8927,
L3,O2,1,ijk,1024,L3_O2_P1_ijk_bco_1024,Runtime (RDTSC) [s] STAT,77.5348,19.3837,19.3837,19.3837,
L3,O2,1,jik,64,L3_O2_P1_jik_bco_64,Runtime (RDTSC) [s] STAT,32.9056,8.2264,8.2264,8.2264,
